Gene Symbol,Gene,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of FC,-log10(P),FC
Morc3,ENSMUSG00000039456,Sex,male,1,0.6223,0.5780,-0.5105,1.7551,1.16,2.8e-1,0.7159375553,0.8978093614,0.8338185938,0.1451248556,1.8632346334
Lman1l,ENSMUSG00000056271,Sex,male,1,-1.4480,1.3444,-4.0830,1.1869,1.16,2.8e-1,0.7159375553,-2.089084507,1.9395314304,0.1451248556,0.2350297832
Homez,ENSMUSG00000057156,Sex,male,1,-0.6611,0.6140,-1.8644,0.5423,1.16,2.8e-1,0.7159375553,-0.953759711,0.8857662125,0.1451248556,0.5162852506
Chka,ENSMUSG00000024843,Sex,male,1,-0.4066,0.3778,-1.1470,0.3339,1.16,2.8e-1,0.7163751912,-0.586575865,0.5450343364,0.1448594626,0.6659215506
Hmgb1,ENSMUSG00000066551,Sex,male,1,0.1406,0.1307,-0.1155,0.3968,1.16,2.8e-1,0.7164841129,0.202912587,0.1885766485,0.1447934351,1.1510197488
Cd38,ENSMUSG00000029084,Sex,male,1,-0.3190,0.2965,-0.9001,0.2622,1.16,2.8e-1,0.7166000917,-0.460207499,0.4277740002,0.1447231406,0.7268817056
Rgl2,ENSMUSG00000041354,Sex,male,1,-0.1421,0.1321,-0.4011,0.1169,1.16,2.8e-1,0.7166545742,-0.205012686,0.1906188943,0.1446901228,0.8675310589
Ckap2l,ENSMUSG00000048327,Sex,male,1,0.6177,0.5744,-0.5081,1.7435,1.16,2.8e-1,0.7166545742,0.8911701036,0.8286979497,0.1446901228,1.8546797594
Proser1,ENSMUSG00000049504,Sex,male,1,-0.5939,0.5522,-1.6762,0.4884,1.16,2.8e-1,0.7166545742,-0.856827218,0.7966597547,0.1446901228,0.5521655489
Lamtor5,ENSMUSG00000087260,Sex,male,1,0.1753,0.1630,-0.1442,0.4947,1.16,2.8e-1,0.7166545742,0.2528638674,0.2351414331,0.1446901228,1.1915701328
Tctex1d4,ENSMUSG00000047671,Sex,male,1,-1.4094,1.3108,-3.9785,1.1597,1.16,2.8e-1,0.7166840247,-2.03333276,1.8910451304,0.1446722761,0.2442900891
Klhl14,ENSMUSG00000042514,Sex,male,1,-0.8328,0.7747,-2.3511,0.6855,1.16,2.8e-1,0.7167946407,-1.201452915,1.117583792,0.1446052505,0.4348371436
Gm28661,ENSMUSG00000102070,Sex,male,1,0.3105,0.2889,-0.2557,0.8767,1.16,2.8e-1,0.716913678,0.4479573456,0.4167666025,0.1445331336,1.3641075034
Ctnnd2,ENSMUSG00000022240,Sex,male,1,-1.3471,1.2539,-3.8047,1.1105,1.15,2.8e-1,0.717321626,-1.94345168,1.8090121612,0.1442860757,0.2599936549
Gigyf1,ENSMUSG00000029714,Sex,male,1,-0.1763,0.1641,-0.4979,0.1453,1.15,2.8e-1,0.717321626,-0.254309081,0.2367251322,0.1442860757,0.8383885502
Tenm1,ENSMUSG00000016150,Sex,male,1,-0.6706,0.6246,-1.8948,0.5537,1.15,2.8e-1,0.7175967313,-0.967423229,0.9011317095,0.1441195482,0.5114186829
Lrrc14b,ENSMUSG00000021579,Sex,male,1,-0.8057,0.7504,-2.2764,0.6650,1.15,2.8e-1,0.7175967313,-1.162395994,1.0825545265,0.1441195482,0.4467699341
Atf1,ENSMUSG00000023027,Sex,male,1,0.2962,0.2759,-0.2446,0.8371,1.15,2.8e-1,0.7175967313,0.4273745997,0.3980999925,0.1441195482,1.3447841257
Msantd2,ENSMUSG00000042138,Sex,male,1,-1.0599,0.9871,-2.9946,0.8749,1.15,2.8e-1,0.7175967313,-1.529062247,1.4241530032,0.1441195482,0.3465025207
