Gene Symbol,Gene,Parameter,Level1,DF,Estimate,StdErr,LowerWaldCL,UpperWaldCL,ChiSq,ProbChiSq,fdr_p,log2(FC),stderr of FC,-log10(P),FC
Rpl37rt,ENSMUSG00000072692,Sex,male,1,-0.4269,0.1587,-0.7379,-0.1158,7.24,7.1e-3,0.1128832678,-0.615857207,0.2289532825,0.947370427,0.6525420569
Gm12944,ENSMUSG00000084149,Sex,male,1,-0.9542,0.3547,-1.6493,-0.2591,7.24,7.1e-3,0.1128832678,-1.376596372,0.5116631763,0.947370427,0.3851263203
Rmnd1,ENSMUSG00000019763,Sex,male,1,-0.6739,0.2507,-1.1653,-0.1825,7.23,7.2e-3,0.1130616018,-0.972216209,0.3616830263,0.946684866,0.5097224463
Prelid1,ENSMUSG00000021486,Sex,male,1,-0.3173,0.1180,-0.5487,-0.0860,7.23,7.2e-3,0.1130616018,-0.457780218,0.1702980592,0.946684866,0.7281056867
6-Mar,ENSMUSG00000039100,Sex,male,1,0.6325,0.2353,0.1713,1.0936,7.23,7.2e-3,0.1130616018,0.912480929,0.3394519057,0.946684866,1.882279577
Ncoa4,ENSMUSG00000056234,Sex,male,1,0.7778,0.2893,0.2107,1.3449,7.23,7.2e-3,0.1130616018,1.1221701516,0.417434723,0.946684866,2.1767415933
Abcd1,ENSMUSG00000031378,Sex,male,1,-0.3011,0.1121,-0.5208,-0.0814,7.21,7.2e-3,0.1132001675,-0.434372132,0.1617256986,0.9461529304,0.7400157429
Zpr1,ENSMUSG00000032078,Sex,male,1,-0.5709,0.2126,-0.9875,-0.1543,7.21,7.2e-3,0.1132001675,-0.823595698,0.3066551305,0.9461529304,0.5650319299
Pygm,ENSMUSG00000032648,Sex,male,1,0.7791,0.2901,0.2104,1.3477,7.21,7.2e-3,0.1132001675,1.1239537979,0.4185542215,0.9461529304,2.1794344272
Gm8225,ENSMUSG00000068604,Sex,male,1,-1.0567,0.3934,-1.8278,-0.2857,7.22,7.2e-3,0.1132001675,-1.524567407,0.567530975,0.9461529304,0.3475837625
Cep76,ENSMUSG00000073542,Sex,male,1,0.8578,0.3192,0.2321,1.4834,7.22,7.2e-3,0.1132001675,1.2375038545,0.4605427471,0.9461529304,2.3579021582
Gm5483,ENSMUSG00000079597,Sex,male,1,0.5790,0.2156,0.1564,1.0016,7.21,7.2e-3,0.1132001675,0.835332623,0.3110484841,0.9461529304,1.7842683664
Gm9164,ENSMUSG00000082322,Sex,male,1,-1.6440,0.6120,-2.8435,-0.4444,7.21,7.2e-3,0.1132001675,-2.371730318,0.8829724361,0.9461529304,0.1932137513
Myc,ENSMUSG00000022346,Sex,male,1,-0.7439,0.2771,-1.2870,-0.2007,7.21,7.3e-3,0.1134197403,-1.073204809,0.399800772,0.9453113515,0.4752620762
Ttc41,ENSMUSG00000044937,Sex,male,1,-2.2526,0.8398,-3.8986,-0.6065,7.19,7.3e-3,0.1139461549,-3.249779051,1.2116338588,0.9433003253,0.105128151
Gm16470,ENSMUSG00000098091,Sex,male,1,0.8391,0.3128,0.2260,1.4522,7.20,7.3e-3,0.1139461549,1.2105839537,0.4512967244,0.9433003253,2.3143129331
Rmnd5b,ENSMUSG00000001054,Sex,male,1,-0.4251,0.1587,-0.7362,-0.1141,7.17,7.4e-3,0.1147537111,-0.613360266,0.2289900353,0.9402332605,0.6536724205
Hps1,ENSMUSG00000025188,Sex,male,1,-0.4847,0.1810,-0.8394,-0.1300,7.17,7.4e-3,0.1147537111,-0.699255889,0.2610679142,0.9402332605,0.6158897876
Mettl26,ENSMUSG00000025731,Sex,male,1,-0.6888,0.2572,-1.1929,-0.1847,7.17,7.4e-3,0.1147537111,-0.993750651,0.3710556028,0.9402332605,0.5021705569
Rps3,ENSMUSG00000030744,Sex,male,1,-0.3897,0.1455,-0.6748,-0.1045,7.17,7.4e-3,0.1147537111,-0.562169582,0.2099096519,0.9402332605,0.6772828724
Rps16-ps2,ENSMUSG00000060419,Sex,male,1,-0.3639,0.1359,-0.6303,-0.0976,7.17,7.4e-3,0.1147537111,-0.525058334,0.1960375928,0.9402332605,0.6949310103
Mrpl23-ps1,ENSMUSG00000075279,Sex,male,1,-0.7972,0.2977,-1.3807,-0.2137,7.17,7.4e-3,0.1147877387,-1.150085532,0.4295009473,0.9401044994,0.4505985162
Rrp7a,ENSMUSG00000018040,Sex,male,1,-0.5850,0.2185,-1.0133,-0.1567,7.17,7.4e-3,0.1149136697,-0.844004882,0.3152762913,0.9396283062,0.5570949402
St7,ENSMUSG00000029534,Sex,male,1,0.5558,0.2077,0.1487,0.9629,7.16,7.5e-3,0.1151124422,0.8018439411,0.2996647561,0.938877732,1.74332789
Mndal,ENSMUSG00000090272,Sex,male,1,-0.4324,0.1616,-0.7490,-0.1157,7.16,7.4e-3,0.1151124422,-0.623771286,0.2330924997,0.938877732,0.6489722585
Cops6,ENSMUSG00000019494,Sex,male,1,-0.4349,0.1626,-0.7537,-0.1161,7.15,7.5e-3,0.1151274877,-0.627408785,0.2346429021,0.9388209725,0.6473380512
Spcs1,ENSMUSG00000021917,Sex,male,1,0.3501,0.1310,0.0934,0.6068,7.15,7.5e-3,0.1151274877,0.5050827218,0.188922735,0.9388209725,1.4192047288
Rimbp2,ENSMUSG00000029420,Sex,male,1,1.2667,0.4736,0.3385,2.1949,7.15,7.5e-3,0.1151274877,1.8274285216,0.6832382707,0.9388209725,3.54903923
Rpsa,ENSMUSG00000032518,Sex,male,1,-0.5002,0.1871,-0.8669,-0.1336,7.15,7.5e-3,0.1151274877,-0.721680064,0.2698640835,0.9388209725,0.6063908694
Tmprss13,ENSMUSG00000037129,Sex,male,1,-1.7913,0.6699,-3.1044,-0.4783,7.15,7.5e-3,0.1151274877,-2.584364867,0.9664978377,0.9388209725,0.1667357224
Spred3,ENSMUSG00000037239,Sex,male,1,2.1368,0.7993,0.5701,3.7035,7.15,7.5e-3,0.1151274877,3.082725146,1.1532094498,0.9388209725,8.4721324614
Gm16026,ENSMUSG00000079455,Sex,male,1,-1.7587,0.6576,-3.0476,-0.4699,7.15,7.5e-3,0.1151274877,-2.537275717,0.9486994572,0.9388209725,0.1722677184
Gm3839,ENSMUSG00000097148,Sex,male,1,1.0698,0.4001,0.2856,1.8539,7.15,7.5e-3,0.1151274877,1.5433357267,0.5772230545,0.9388209725,2.9146764174
Rpl30,ENSMUSG00000058600,Sex,male,1,-0.4010,0.1501,-0.6951,-0.1068,7.14,7.6e-3,0.1155895961,-0.578481033,0.2165376159,0.9370812537,0.6696684786
Tgfb1i1,ENSMUSG00000030782,Sex,male,1,0.5907,0.2212,0.1572,1.0242,7.13,7.6e-3,0.11564727,0.8522068027,0.319082202,0.9368646149,1.8052602109
Bmp2k,ENSMUSG00000034663,Sex,male,1,0.5924,0.2218,0.1577,1.0272,7.13,7.6e-3,0.11564727,0.8546779019,0.3200211455,0.9368646149,1.8083549741
Polr1e,ENSMUSG00000028318,Sex,male,1,-0.8221,0.3079,-1.4256,-0.2186,7.13,7.6e-3,0.1156490118,-1.186009961,0.4442446471,0.9368580738,0.4395167457
Wdr26,ENSMUSG00000038733,Sex,male,1,0.5743,0.2151,0.1527,0.9960,7.13,7.6e-3,0.1156490118,0.8285897961,0.3103494624,0.9368580738,1.7759485615
Igkv8-24,ENSMUSG00000076583,Sex,male,1,-1.4472,0.5420,-2.5094,-0.3850,7.13,7.6e-3,0.1156490118,-2.087877665,0.7818727172,0.9368580738,0.2352264724
Gsr,ENSMUSG00000031584,Sex,male,1,0.4806,0.1800,0.1277,0.8334,7.13,7.6e-3,0.1156670483,0.6933234794,0.2597350143,0.9367903471,1.6170042597
Pofut2,ENSMUSG00000020260,Sex,male,1,0.5107,0.1914,0.1356,0.8858,7.12,7.6e-3,0.1157669986,0.7367999292,0.2760854665,0.9364152263,1.666475294
Jak2,ENSMUSG00000024789,Sex,male,1,0.4699,0.1761,0.1247,0.8150,7.12,7.6e-3,0.1158019705,0.6779140584,0.254060568,0.9362840505,1.599824952
Zfp871,ENSMUSG00000024298,Sex,male,1,0.9145,0.3428,0.2426,1.5863,7.12,7.6e-3,0.1159114112,1.3193021739,0.4945505339,0.9358738068,2.4954537643
Sdhaf2,ENSMUSG00000024668,Sex,male,1,0.3447,0.1292,0.0914,0.5980,7.11,7.6e-3,0.1159213905,0.4973120018,0.1864455945,0.935836418,1.4115810834
Scoc,ENSMUSG00000063253,Sex,male,1,0.8459,0.3172,0.2241,1.4676,7.11,7.7e-3,0.116093972,1.2203469559,0.4576568627,0.9351903297,2.3300274574
2610507B11Rik,ENSMUSG00000010277,Sex,male,1,0.4680,0.1756,0.1238,0.8122,7.10,7.7e-3,0.1164298724,0.6751843809,0.2533452089,0.9339355785,1.5968008358
Fmo1,ENSMUSG00000040181,Sex,male,1,1.3772,0.5168,0.3643,2.3900,7.10,7.7e-3,0.1164298724,1.9868351353,0.7455568831,0.9339355785,3.9636652774
Usp32,ENSMUSG00000000804,Sex,male,1,0.4978,0.1869,0.1314,0.8642,7.09,7.7e-3,0.1165619151,0.7181648955,0.2696905173,0.9334433257,1.6450881551
Fam162a,ENSMUSG00000003955,Sex,male,1,-0.6943,0.2607,-1.2052,-0.1834,7.09,7.7e-3,0.1165619151,-1.001671191,0.3760678928,0.9334433257,0.4994211448
2310011J03Rik,ENSMUSG00000020133,Sex,male,1,-0.4150,0.1559,-0.7205,-0.1096,7.09,7.7e-3,0.1165619151,-0.59876988,0.2248562313,0.9334433257,0.6603167375
Nop56,ENSMUSG00000027405,Sex,male,1,-0.6674,0.2506,-1.1586,-0.1763,7.09,7.7e-3,0.1165619151,-0.962882179,0.3615400234,0.9334433257,0.5130309688
Cap1,ENSMUSG00000028656,Sex,male,1,0.2675,0.1004,0.0707,0.4642,7.10,7.7e-3,0.1165619151,0.3858498881,0.1448510715,0.9334433257,1.3066292925
Ypel5,ENSMUSG00000039770,Sex,male,1,0.6154,0.2311,0.1624,1.0684,7.09,7.8e-3,0.1165619151,0.8878638386,0.3334562324,0.9334433257,1.850434204
Capn1,ENSMUSG00000024942,Sex,male,1,-0.2497,0.0938,-0.4337,-0.0658,7.08,7.8e-3,0.1169714334,-0.360291273,0.1353912553,0.9319201881,0.7790072861
Gp6,ENSMUSG00000078810,Sex,male,1,0.6296,0.2367,0.1657,1.0935,7.08,7.8e-3,0.1172533402,0.9083045028,0.3414699135,0.9308747765,1.8768384866
Gm9992,ENSMUSG00000056133,Sex,male,1,0.9476,0.3563,0.2492,1.6460,7.07,7.8e-3,0.1173738697,1.3670797545,0.5140710041,0.9304285768,2.5794790951
Cpq,ENSMUSG00000039007,Sex,male,1,0.8293,0.3120,0.2178,1.4407,7.07,7.9e-3,0.1176238743,1.1963645122,0.4500508933,0.9295045198,2.2916147236
Hspd1-ps4,ENSMUSG00000081189,Sex,male,1,0.6374,0.2399,0.1673,1.1075,7.06,7.9e-3,0.1177717509,0.91955468,0.3460575181,0.9289588684,1.8915313401
Gm7565,ENSMUSG00000107911,Sex,male,1,-1.0366,0.3900,-1.8010,-0.2721,7.06,7.9e-3,0.1177717509,-1.49543561,0.5627195636,0.9289588684,0.3546737321
Psmb6,ENSMUSG00000018286,Sex,male,1,-0.4348,0.1637,-0.7558,-0.1139,7.05,7.9e-3,0.1181350838,-0.627351376,0.2362406999,0.9276211064,0.6473638114
Rgs10,ENSMUSG00000030844,Sex,male,1,0.5342,0.2011,0.1399,0.9284,7.05,7.9e-3,0.1181350838,0.7706339093,0.2901797401,0.9276211064,1.7060192309
Memo1,ENSMUSG00000058704,Sex,male,1,0.6811,0.2565,0.1783,1.1840,7.05,7.9e-3,0.118216204,0.9826766589,0.3701212392,0.9273229901,1.9761283576
Rpl15-ps3,ENSMUSG00000061167,Sex,male,1,-0.5366,0.2022,-0.9329,-0.1404,7.04,7.9e-3,0.1183942832,-0.774212732,0.2916945838,0.9266692673,0.5847076077
Sec31a,ENSMUSG00000035325,Sex,male,1,-0.4708,0.1775,-0.8187,-0.1229,7.04,8e-3,0.1188527047,-0.679274894,0.2560817918,0.9249909306,0.624479062
Slc39a7,ENSMUSG00000024327,Sex,male,1,-0.3597,0.1356,-0.6255,-0.0939,7.03,8e-3,0.1188644122,-0.518961608,0.1956705209,0.9249481529,0.6978739531
Snx8,ENSMUSG00000029560,Sex,male,1,-0.4691,0.1769,-0.8159,-0.1224,7.03,8e-3,0.1188944705,-0.676822448,0.255229259,0.9248383431,0.6255415206
Slfn2,ENSMUSG00000072620,Sex,male,1,-0.2490,0.0939,-0.4331,-0.0649,7.03,8e-3,0.1191372243,-0.359210476,0.1355092878,0.9239525223,0.7795910993
Haus8,ENSMUSG00000035439,Sex,male,1,-0.4033,0.1524,-0.7019,-0.1046,7.00,8.1e-3,0.12052352,-0.581794191,0.2198275687,0.9189281928,0.6681323452
Rngtt,ENSMUSG00000028274,Sex,male,1,0.5481,0.2073,0.1418,0.9544,6.99,8.2e-3,0.1213083444,0.7907116971,0.2990495292,0.9161093244,1.7299276442
Sdk2,ENSMUSG00000041592,Sex,male,1,-1.5306,0.5792,-2.6658,-0.3955,6.98,8.2e-3,0.1216330921,-2.208255016,0.8355545338,0.9149482526,0.216395887
Rpl28-ps1,ENSMUSG00000058603,Sex,male,1,-0.4561,0.1726,-0.7943,-0.1178,6.98,8.2e-3,0.1216330921,-0.65794188,0.2489800186,0.9149482526,0.6337817929
Src,ENSMUSG00000027646,Sex,male,1,0.7612,0.2882,0.1964,1.3260,6.98,8.3e-3,0.1217971583,1.0981554237,0.4157373248,0.9143628443,2.140808017
Eefsec,ENSMUSG00000033216,Sex,male,1,-0.5186,0.1963,-0.9034,-0.1338,6.98,8.3e-3,0.1217971583,-0.748148952,0.2832272273,0.9143628443,0.5953669525
Rpp21,ENSMUSG00000024446,Sex,male,1,-0.5596,0.2119,-0.9750,-0.1443,6.97,8.3e-3,0.1218166004,-0.807399212,0.3057459837,0.9142935248,0.5714110292
Ctrb1,ENSMUSG00000031957,Sex,male,1,2.3732,0.8989,0.6114,4.1350,6.97,8.3e-3,0.1218166004,3.423833764,1.2968291394,0.9142935248,10.731901133
Chmp4b,ENSMUSG00000038467,Sex,male,1,0.3801,0.1439,0.0980,0.6621,6.98,8.3e-3,0.1218166004,0.5483121181,0.2076090869,0.9142935248,1.4623737896
Pdlim1,ENSMUSG00000055044,Sex,male,1,0.4710,0.1784,0.1214,0.8207,6.97,8.3e-3,0.1218166004,0.6795565131,0.2573809457,0.9142935248,1.6016473304
Mgat1,ENSMUSG00000020346,Sex,male,1,-0.3969,0.1505,-0.6918,-0.1020,6.96,8.3e-3,0.1222065266,-0.572596854,0.2170715121,0.9129055993,0.6724053676
P2rx1,ENSMUSG00000020787,Sex,male,1,0.6199,0.2350,0.1594,1.0804,6.96,8.3e-3,0.1222065266,0.8942674701,0.3389617474,0.9129055993,1.8586659061
Nt5c2,ENSMUSG00000025041,Sex,male,1,0.3932,0.1491,0.1011,0.6854,6.96,8.3e-3,0.1222065266,0.5673354781,0.2150721229,0.9129055993,1.4817843257
Eif4e2,ENSMUSG00000026254,Sex,male,1,-0.4064,0.1540,-0.7084,-0.1045,6.96,8.3e-3,0.1222065266,-0.586372686,0.222233194,0.9129055993,0.6660153412
S100a1,ENSMUSG00000044080,Sex,male,1,0.6223,0.2363,0.1593,1.0853,6.94,8.4e-3,0.1234633938,0.897782824,0.3408384598,0.9084617892,1.8632003608
Trip4,ENSMUSG00000032386,Sex,male,1,0.6320,0.2400,0.1616,1.1025,6.93,8.5e-3,0.1236315405,0.9118477614,0.3462798687,0.9078707191,1.8814536665
Wdr18,ENSMUSG00000035754,Sex,male,1,-0.7759,0.2949,-1.3538,-0.1980,6.92,8.5e-3,0.1242073039,-1.119398362,0.4254038189,0.9058528649,0.4602857355
Atf7ip,ENSMUSG00000030213,Sex,male,1,0.6846,0.2602,0.1745,1.1946,6.92,8.5e-3,0.124371832,0.9876095296,0.375428853,0.9052779684,1.982896711
Acsm2,ENSMUSG00000030945,Sex,male,1,1.6340,0.6213,0.4163,2.8517,6.92,8.5e-3,0.1244481978,2.3573792794,0.8963087967,0.9050113884,5.1243864514
Cd52,ENSMUSG00000000682,Sex,male,1,-0.3680,0.1400,-0.6424,-0.0937,6.91,8.6e-3,0.1245709975,-0.530972322,0.2019327692,0.904583058,0.6920881357
Rnf6,ENSMUSG00000029634,Sex,male,1,0.5890,0.2240,0.1499,1.0281,6.91,8.6e-3,0.124648029,0.8497037317,0.3232127513,0.9043145845,1.8021308061
Myl9,ENSMUSG00000067818,Sex,male,1,0.6762,0.2574,0.1718,1.1807,6.90,8.6e-3,0.125007314,0.9756122396,0.3712883101,0.9030645761,1.9664755375
Sgpp1,ENSMUSG00000021054,Sex,male,1,-0.5688,0.2166,-0.9934,-0.1443,6.90,8.6e-3,0.1251271291,-0.820667713,0.3125066741,0.9026485197,0.5661798408
Mrps15,ENSMUSG00000028861,Sex,male,1,-0.5305,0.2020,-0.9264,-0.1347,6.90,8.6e-3,0.1251271291,-0.765414689,0.2913692581,0.9026485197,0.5882842475
D6Wsu163e,ENSMUSG00000030347,Sex,male,1,1.1655,0.4439,0.2954,2.0355,6.89,8.7e-3,0.1251271291,1.6813959766,0.6403971992,0.9026485197,3.207381527
H2-DMa,ENSMUSG00000037649,Sex,male,1,-0.4014,0.1528,-0.7009,-0.1018,6.90,8.6e-3,0.1251271291,-0.579097151,0.2204933782,0.9026485197,0.6693825507
Lrrc3,ENSMUSG00000051652,Sex,male,1,-1.5501,0.5904,-2.7072,-0.3929,6.89,8.7e-3,0.1251271291,-2.236262391,0.8517613376,0.9026485197,0.2122354576
Fiz1,ENSMUSG00000061374,Sex,male,1,-0.2856,0.1088,-0.4988,-0.0724,6.89,8.6e-3,0.1251271291,-0.412019993,0.1569184425,0.9026485197,0.7515703235
Pih1d1,ENSMUSG00000003423,Sex,male,1,-0.4772,0.1818,-0.8336,-0.1209,6.89,8.7e-3,0.1251508412,-0.688496017,0.2623170314,0.9025662271,0.6205003731
Eef1b2,ENSMUSG00000025967,Sex,male,1,-0.3379,0.1287,-0.5902,-0.0855,6.89,8.7e-3,0.1251508412,-0.487419307,0.1857213006,0.9025662271,0.7132999081
Vhl,ENSMUSG00000033933,Sex,male,1,0.8912,0.3395,0.2258,1.5566,6.89,8.7e-3,0.1251508412,1.2857267905,0.4897911554,0.9025662271,2.4380484405
Fbxl6,ENSMUSG00000022559,Sex,male,1,-0.4423,0.1686,-0.7728,-0.1119,6.88,8.7e-3,0.1253953107,-0.638129928,0.2432367008,0.9017187043,0.6425452992
Aig1,ENSMUSG00000019806,Sex,male,1,0.5802,0.2212,0.1466,1.0138,6.88,8.7e-3,0.1255677092,0.8370262379,0.3191820703,0.9011220287,1.7863641925
Rbpms2,ENSMUSG00000032387,Sex,male,1,0.5871,0.2238,0.1483,1.0258,6.88,8.7e-3,0.1255677092,0.8469372095,0.3229403698,0.9011220287,1.7986783386
Timm50,ENSMUSG00000003438,Sex,male,1,-0.8154,0.3110,-1.4250,-0.2059,6.87,8.7e-3,0.1256367169,-1.176396601,0.4486783415,0.9008834211,0.4424552334
Mrpl13,ENSMUSG00000022370,Sex,male,1,-0.6513,0.2485,-1.1384,-0.1642,6.87,8.8e-3,0.1259718894,-0.939673763,0.3585583301,0.8997263568,0.5213507603
Rpl7a,ENSMUSG00000062647,Sex,male,1,-0.2229,0.0851,-0.3898,-0.0560,6.85,8.8e-3,0.1269101953,-0.321574588,0.122838659,0.8965034876,0.80019605
Zdhhc2,ENSMUSG00000039470,Sex,male,1,-1.8324,0.7004,-3.2051,-0.4598,6.85,8.9e-3,0.1273315552,-2.6436222,1.010395577,0.8950639565,0.1600259525
Rac1,ENSMUSG00000001847,Sex,male,1,0.3181,0.1216,0.0798,0.5565,6.84,8.9e-3,0.1273804544,0.4589782841,0.1754514218,0.8948972061,1.374568005
Gata2,ENSMUSG00000015053,Sex,male,1,0.8165,0.3122,0.2046,1.4284,6.84,8.9e-3,0.1274558136,1.1779047998,0.4504123392,0.8946403504,2.2624796248
Gadd45a,ENSMUSG00000036390,Sex,male,1,0.6858,0.2622,0.1719,1.1998,6.84,8.9e-3,0.1274558136,0.989436171,0.3783169831,0.8946403504,1.9854089087
Rps13,ENSMUSG00000090862,Sex,male,1,-0.5353,0.2047,-0.9366,-0.1340,6.84,8.9e-3,0.1275177236,-0.772281275,0.2953615746,0.8944294489,0.5854909293
Eno1,ENSMUSG00000063524,Sex,male,1,-0.4611,0.1764,-0.8069,-0.1154,6.83,8.9e-3,0.1275883958,-0.665270599,0.2544831821,0.8941888232,0.6305704205
Ring1,ENSMUSG00000024325,Sex,male,1,-0.6699,0.2565,-1.1727,-0.1672,6.82,9e-3,0.1284141234,-0.966512288,0.370071313,0.8913872086,0.5117417029
Arhgef12,ENSMUSG00000059495,Sex,male,1,0.4444,0.1702,0.1108,0.7780,6.82,9e-3,0.1284721431,0.6412002713,0.2455547078,0.8911910311,1.5596261736
Sart1,ENSMUSG00000039148,Sex,male,1,-0.5829,0.2233,-1.0204,-0.1453,6.82,9e-3,0.1285733228,-0.840875834,0.322093555,0.890849132,0.5583045294
Rpl15,ENSMUSG00000012405,Sex,male,1,-0.3671,0.1407,-0.6429,-0.0913,6.81,9.1e-3,0.1288958931,-0.529627651,0.2029854992,0.88976092,0.6927335006
Asb1,ENSMUSG00000026311,Sex,male,1,0.5330,0.2043,0.1326,0.9333,6.81,9.1e-3,0.1288958931,0.7689412845,0.2946937524,0.88976092,1.7040188378
Limk2,ENSMUSG00000020451,Sex,male,1,-0.6569,0.2519,-1.1506,-0.1632,6.80,9.1e-3,0.1290481193,-0.947654447,0.3633986757,0.8892483204,0.5184747203
Rab27b,ENSMUSG00000024511,Sex,male,1,0.5869,0.2251,0.1458,1.0281,6.80,9.1e-3,0.1290481193,0.8467857589,0.3247479058,0.8892483204,1.7984895277
Azin1,ENSMUSG00000037458,Sex,male,1,0.7553,0.2896,0.1877,1.3229,6.80,9.1e-3,0.1290481193,1.0896472546,0.4177833344,0.8892483204,2.128219942
Rps28,ENSMUSG00000067288,Sex,male,1,-0.3289,0.1261,-0.5761,-0.0817,6.80,9.1e-3,0.1290481193,-0.474485455,0.1819573334,0.8892483204,0.7197234377
Iglc1,ENSMUSG00000105906,Sex,male,1,-0.7492,0.2874,-1.3124,-0.1860,6.80,9.1e-3,0.1290481193,-1.080902841,0.4145736594,0.8892483204,0.4727328938
Crip1,ENSMUSG00000006360,Sex,male,1,-0.5888,0.2260,-1.0318,-0.1458,6.79,9.2e-3,0.1297031855,-0.849454954,0.3260859062,0.8870493577,0.5549943719
2210016F16Rik,ENSMUSG00000021550,Sex,male,1,-0.6122,0.2351,-1.0729,-0.1515,6.78,9.2e-3,0.1297031855,-0.883253045,0.3391102936,0.8870493577,0.5421436055
Lars,ENSMUSG00000024493,Sex,male,1,-0.4499,0.1727,-0.7884,-0.1114,6.78,9.2e-3,0.1297031855,-0.649007962,0.2491623102,0.8870493577,0.6377186764
Fcf1,ENSMUSG00000021243,Sex,male,1,-0.4101,0.1575,-0.7188,-0.1014,6.78,9.2e-3,0.1298935434,-0.591651063,0.2272513025,0.886412436,0.6635830483
Fbxo2,ENSMUSG00000041556,Sex,male,1,0.6726,0.2583,0.1663,1.1789,6.78,9.2e-3,0.1298935434,0.9703540001,0.3726784368,0.886412436,1.9593213031
Eva1c,ENSMUSG00000039903,Sex,male,1,1.4004,0.5381,0.3458,2.4550,6.77,9.2e-3,0.1300909747,2.0203522004,0.776256398,0.8857528324,4.0568281784
Acbd4,ENSMUSG00000056938,Sex,male,1,-0.6767,0.2602,-1.1866,-0.1668,6.77,9.3e-3,0.1305537271,-0.976295792,0.3753300099,0.8842107252,0.5082831139
Emc3,ENSMUSG00000030286,Sex,male,1,0.2779,0.1068,0.0685,0.4873,6.76,9.3e-3,0.1306347839,0.4008807445,0.1541463045,0.8839411688,1.3203136973
Tnfrsf13b,ENSMUSG00000010142,Sex,male,1,-0.9571,0.3682,-1.6788,-0.2355,6.76,9.3e-3,0.1309154155,-1.380852229,0.5311761865,0.8830092117,0.3839918966
Spg7,ENSMUSG00000000738,Sex,male,1,-0.4872,0.1876,-0.8549,-0.1195,6.75,9.4e-3,0.1314824926,-0.702926877,0.2706455648,0.8811320713,0.6143246267
Cd37,ENSMUSG00000030798,Sex,male,1,-0.6246,0.2405,-1.0959,-0.1533,6.75,9.4e-3,0.1314824926,-0.90111393,0.346932938,0.8811320713,0.5354731233
Rpl13-ps6,ENSMUSG00000059776,Sex,male,1,-1.3240,0.5097,-2.3231,-0.3250,6.75,9.4e-3,0.1314824926,-1.91016718,0.7353965033,0.8811320713,0.2660617125
Rpl14,ENSMUSG00000025794,Sex,male,1,-0.6577,0.2534,-1.1543,-0.1612,6.74,9.4e-3,0.1318040453,-0.948909947,0.3655161128,0.8800712603,0.5180237158
Park7,ENSMUSG00000028964,Sex,male,1,-0.4984,0.1921,-0.8749,-0.1219,6.73,9.5e-3,0.1322535451,-0.719014427,0.2771183875,0.8785926778,0.607512321
Fam83g,ENSMUSG00000042377,Sex,male,1,-1.5746,0.6070,-2.7643,-0.3850,6.73,9.5e-3,0.1322854457,-2.271725562,0.8756849672,0.8784879352,0.2070820539
Tkt,ENSMUSG00000021957,Sex,male,1,-0.2555,0.0985,-0.4485,-0.0624,6.73,9.5e-3,0.1323429233,-0.368574811,0.1420996695,0.8782992764,0.7745472679
Plk2,ENSMUSG00000021701,Sex,male,1,1.3369,0.5155,0.3265,2.3474,6.73,9.5e-3,0.1323913936,1.9287986494,0.7437478929,0.8781402462,3.8073802177
Nans,ENSMUSG00000028334,Sex,male,1,-0.5787,0.2233,-1.0163,-0.1410,6.72,9.6e-3,0.1329684148,-0.834855049,0.3221446246,0.8762515086,0.5606393651
Zbp1,ENSMUSG00000027514,Sex,male,1,-0.5706,0.2203,-1.0024,-0.1389,6.71,9.6e-3,0.1330696172,-0.823233317,0.3178140887,0.8759210924,0.5651738747
Sh2d2a,ENSMUSG00000028071,Sex,male,1,-0.7364,0.2843,-1.2936,-0.1793,6.71,9.6e-3,0.1330696172,-1.062412589,0.4101099953,0.8759210924,0.4788306512
Bcl7b,ENSMUSG00000029681,Sex,male,1,-0.4600,0.1776,-0.8081,-0.1120,6.71,9.6e-3,0.1330696172,-0.663656346,0.2561902549,0.8759210924,0.6312763699
Traip,ENSMUSG00000032586,Sex,male,1,0.5468,0.2111,0.1330,0.9605,6.71,9.6e-3,0.1330696172,0.7888185993,0.3045524034,0.8759210924,1.7276591297
Oasl2,ENSMUSG00000029561,Sex,male,1,-0.3830,0.1480,-0.6730,-0.0930,6.70,9.6e-3,0.1334238755,-0.552581433,0.2134700772,0.8747664488,0.6817990842
Mast1,ENSMUSG00000053693,Sex,male,1,-1.7306,0.6686,-3.0411,-0.4201,6.70,9.6e-3,0.1334238755,-2.496679482,0.9646267856,0.8747664488,0.1771840345
B3gat3,ENSMUSG00000071649,Sex,male,1,-0.4690,0.1812,-0.8241,-0.1138,6.70,9.7e-3,0.1334238755,-0.67658113,0.2614322014,0.8747664488,0.6256461629
Tomm5,ENSMUSG00000078713,Sex,male,1,-0.5379,0.2078,-0.9451,-0.1307,6.70,9.6e-3,0.1334238755,-0.776031168,0.2997626256,0.8747664488,0.5839710809
Ssrp1,ENSMUSG00000027067,Sex,male,1,-0.4963,0.1919,-0.8724,-0.1203,6.69,9.7e-3,0.1337503851,-0.716076209,0.2768151907,0.8737049589,0.608750852
Fasn,ENSMUSG00000025153,Sex,male,1,-0.6785,0.2624,-1.1928,-0.1642,6.69,9.7e-3,0.1337904773,-0.978843947,0.3785780037,0.8735747969,0.507386153
